Municipio,PopulacaoEstimada,SalarioMinimoMedio,IDH,MortalidadeInfantil,PIBPerCapta,PopulacaoOcupada,codarea
AFONSO CLAUDIO,30586,1.8,0.667,8.24,13573.12,12.2,3200102
AGUA DOCE DO NORTE,11019,2.3,0.652,12.42,11780.55,11.5,3200169
AGUIA BRANCA,9642,2.0,0.6779999999999999,7.81,19211.38,13.2,3200136
ALEGRE,30084,2.2,0.721,5.1,15241.38,14.0,3200201
ALFREDO CHAVES,14601,1.8,0.71,8.4,22466.48,24.9,3200300
ALTO RIO NOVO,7836,1.6,0.664,10.0,11611.06,10.6,3200359
ANCHIETA,29263,2.8,0.73,10.39,28196.22,23.1,3200409
APIACA,7567,1.6,0.6729999999999999,10.75,12009.57,10.1,3200508
ARACRUZ,101220,3.1,0.752,17.63,52900.73,29.4,3200607
ATILIO VIVACQUA,11936,1.6,0.708,13.25,22481.17,25.6,3200706
BAIXO GUANDU,30998,1.7,0.7020000000000001,16.55,19494.23,16.2,3200805
BARRA DE SAO FRANCISCO,44650,1.9,0.6829999999999999,10.57,17319.53,18.0,3200904
BOA ESPERANCA,15037,1.8,0.679,5.24,16582.61,12.2,3201001
BOM JESUS DO NORTE,9936,1.6,0.7340000000000001,10.64,14044.21,15.3,3201100
BREJETUBA,12404,1.8,0.6559999999999999,10.26,16275.21,10.0,3201159
CACHOEIRO DE ITAPEMIRIM,208972,2.0,0.746,10.94,22522.28,24.9,3201209
CARIACICA,381285,2.1,0.718,10.84,20584.24,15.6,3201308
CASTELO,37534,1.8,0.726,6.79,22625.51,21.1,3201407
COLATINA,122499,2.0,0.746,12.94,26863.05,29.7,3201506
CONCEICAO DA BARRA,31063,2.2,0.6809999999999999,18.6,13444.03,12.9,3201605
CONCEICAO DO CASTELO,12723,1.8,0.67,5.78,15169.85,13.6,3201704
DIVINO DE SAO LOURENCO,4304,1.9,0.632,16.39,14542.53,10.7,3201803
DOMINGOS MARTINS,33850,1.9,0.669,10.68,20247.62,17.0,3201902
DORES DO RIO PRETO,6749,1.8,0.654,10.75,18310.15,14.5,3202009
ECOPORANGA,22923,1.8,0.662,25.18,12535.37,11.8,3202108
FUNDAO,21509,1.8,0.718,3.73,20186.62,18.1,3202207
GOVERNADOR LINDENBERG,12709,1.8,0.6940000000000001,25.42,14133.75,10.3,3202256
GUACUI,30867,1.7,0.703,11.68,16887.94,17.5,3202306
GUARAPARI,124859,1.9,0.731,10.72,17544.28,21.1,3202405
IBATIBA,26082,2.0,0.647,8.47,12396.03,10.5,3202454
IBIRACU,12479,2.0,0.726,22.06,19137.26,35.2,3202504
IBITIRAMA,8889,1.9,0.622,12.12,15584.05,8.8,3202553
ICONHA,13860,2.2,0.7290000000000001,5.62,23706.39,33.7,3202603
IRUPI,13377,1.7,0.637,11.43,14517.6,10.4,3202652
ITAGUACU,14066,1.7,0.7020000000000001,13.7,17197.41,11.4,3202702
ITAPEMIRIM,34348,2.4,0.654,14.71,90330.08,19.8,3202801
ITARANA,10555,1.6,0.684,19.8,18766.78,15.6,3202900
IUNA,29161,1.8,0.6659999999999999,5.09,13766.75,10.9,3203007
JAGUARE,30477,1.8,0.6779999999999999,17.06,15633.86,11.9,3203056
JERONIMO MONTEIRO,12192,1.8,0.698,27.59,11697.94,11.2,3203106
JOAO NEIVA,16668,2.1,0.753,15.46,20399.93,20.0,3203130
LARANJA DA TERRA,10947,1.7,0.6559999999999999,9.71,11697.36,9.5,3203163
LINHARES,173555,2.2,0.7240000000000001,12.68,32417.46,26.8,3203205
MANTENOPOLIS,15350,1.8,0.657,5.75,10825.03,10.2,3203304
MARATAIZES,38499,2.0,0.696,9.07,41684.11,15.3,3203320
MARECHAL FLORIANO,16694,1.7,0.71,20.16,25316.09,27.7,3203346
MARILANDIA,12833,1.6,0.696,7.69,20165.24,17.5,3203353
MIMOSO DO SUL,26153,1.8,0.67,3.37,16889.55,12.2,3203403
MONTANHA,18833,1.9,0.667,7.38,17721.26,15.6,3203502
MUCURICI,5524,1.7,0.6659999999999999,21.74,12298.6,10.2,3203601
MUNIZ FREIRE,17465,2.2,0.645,15.38,14829.8,10.0,3203700
MUQUI,15449,1.8,0.6940000000000001,6.21,12291.49,9.7,3203809
NOVA VENECIA,50110,1.9,0.7120000000000001,12.93,18226.34,17.8,3203908
PANCAS,23184,1.7,0.667,22.52,9998.82,8.1,3204005
PEDRO CANARIO,26184,1.9,0.654,12.54,10751.32,9.9,3204054
PINHEIROS,27047,1.9,0.6729999999999999,10.55,17070.11,12.1,3204104
PIUMA,21711,2.1,0.727,6.12,22287.06,16.1,3204203
PONTO BELO,7863,1.4,0.669,45.45,10298.06,10.6,3204252
PRESIDENTE KENNEDY,11574,2.4,0.657,10.1,292397.08,23.2,3204302
RIO BANANAL,19141,1.9,0.6809999999999999,4.95,19502.23,14.7,3204351
RIO NOVO DO SUL,11622,1.7,0.711,14.6,14684.87,13.5,3204401
SANTA LEOPOLDINA,12224,2.2,0.626,33.78,15396.31,7.6,3204500
SANTA MARIA DE JETIBA,40431,1.8,0.6709999999999999,14.88,34232.97,16.9,3204559
SANTA TERESA,23590,2.2,0.7140000000000001,17.06,19353.67,20.5,3204609
SAO DOMINGOS DO NORTE,8638,2.5,0.682,20.2,26061.77,18.2,3204658
SAO GABRIEL DA PALHA,37947,1.6,0.7090000000000001,7.32,15227.17,22.6,3204708
SAO JOSE DO CALCADO,10556,1.7,0.688,20.41,14803.69,12.2,3204807
SAO MATEUS,130611,2.3,0.735,13.96,16451.41,17.0,3204906
SAO ROQUE DO CANAA,12415,1.6,0.7,9.43,17216.7,18.5,3204955
SERRA,517510,2.6,0.7390000000000001,8.41,36884.26,27.1,3205002
SOORETAMA,30070,1.8,0.662,8.44,19190.2,12.1,3205010
VARGEM ALTA,21402,1.8,0.6629999999999999,11.28,17399.79,18.1,3205036
VENDA NOVA DO IMIGRANTE,25277,2.0,0.728,3.13,23548.8,25.4,3205069
VIANA,78239,2.3,0.6859999999999999,6.4,27678.29,19.7,3205101
VILA PAVAO,9208,1.9,0.6809999999999999,28.57,14443.05,12.6,3205150
VILA VALERIO,14080,1.8,0.675,5.08,17442.45,11.8,3205176
VILA VELHA,493838,2.1,0.8,9.39,22605.19,23.5,3205200
VITORIA,362097,3.9,0.845,12.14,55779.18,66.1,3205309
